how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
45-54,"Accounting, Banking & Finance",CPA,90000,10000.0,California,Palm Springs,21 - 30 years,8 - 10 years,Master's degree
45-54,Engineering or Manufacturing,Sales Analyst 1,82702,2700.0,Pennsylvania,Pittsburgh,21 - 30 years,5-7 years,College degree
25-34,Education (Higher Education),Director of Enrollment,75000,0.0,Colorado,Fort Collins,11 - 20 years,8 - 10 years,Master's degree
45-54,Engineering or Manufacturing,Process Analyst,135000,5000.0,Virginia,Arlington,21 - 30 years,11 - 20 years,Some college
25-34,Computing or Tech,Senior Data Scientist,154000,145000.0,Colorado,Boulder,8 - 10 years,5-7 years,PhD
35-44,Health care,Vet tech,41000,0.0,Oregon,Portland,21 - 30 years,11 - 20 years,College degree
25-34,Engineering or Manufacturing,Project Engineer,92000,5000.0,New Jersey,Edison,2 - 4 years,2 - 4 years,College degree
55-64,"Accounting, Banking & Finance",Practice Support Associate,75000,500.0,California,Crescent City,21 - 30 years,11 - 20 years,Master's degree
35-44,"Marketing, Advertising & PR",Unemployed,0,,Oregon,Portland,21 - 30 years,5-7 years,Master's degree
35-44,Government and Public Administration,Program Assistant,81000,0.0,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree
35-44,Education (Primary/Secondary),High school teacher,101000,0.0,Massachusetts,Decline,11 - 20 years,11 - 20 years,Master's degree
35-44,Education (Higher Education),Senior Research Analyst,63000,,Missouri,Columbia,11 - 20 years,5-7 years,PhD
25-34,Business or Consulting,Senior Strategist,86800,7600.0,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree
45-54,Media & Digital,Senior Taxonomist,110000,,Washington,Seattle,21 - 30 years,8 - 10 years,Master's degree
25-34,"Accounting, Banking & Finance",Accounts Payable/Accounts Receivable,27000,0.0,Ohio,Toledo,5-7 years,1 year or less,High School
25-34,Nonprofits,Program Coordinator,38110,720.0,Texas,Austin,5-7 years,5-7 years,Master's degree
35-44,Health care,Senior HR Coordinator,53539,1000.0,Kansas,Salina,8 - 10 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Brand Marketing Manager,92700,5600.0,California,Mountainview,2 - 4 years,2 - 4 years,College degree
35-44,Art & Design,"Associate Director, Production Design",57000,0.0,North Carolina,Greensboro,11 - 20 years,11 - 20 years,College degree
25-34,Law,Associate,190000,,Massachusetts,Boston,1 year or less,1 year or less,Master's degree
25-34,"Accounting, Banking & Finance",Administrative Assistant,90000,60000.0,New York,New York,8 - 10 years,8 - 10 years,College degree
55-64,Utilities & Telecommunications,Business Data Analyst,72000,,California,Los Angeles,31 - 40 years,5-7 years,College degree
25-34,Education (Higher Education),Visiting Assistant Professor,48000,0.0,Ohio,Oxford,5-7 years,5-7 years,PhD
35-44,Nonprofits,Research Scientist,67000,,Hawaii,Wailuku,11 - 20 years,8 - 10 years,Master's degree
25-34,Retail,Sales Associate,23920,100.0,Texas,Boerne,5-7 years,5-7 years,College degree
45-54,Computing or Tech,Principal Software Engineer,245000,,California,San Francisco,31 - 40 years,31 - 40 years,Some college
25-34,Pharmaceuticals,Associate Scientist III,85000,4000.0,Maryland,Baltimore,1 year or less,1 year or less,PhD
55-64,Hospitality & Events,Night auditor,32000,750.0,Arizona,Tucson,31 - 40 years,11 - 20 years,College degree
25-34,Recruitment or HR,HR Business Partner,70738,,Texas,Austin,8 - 10 years,8 - 10 years,College degree
25-34,Law,Patent assistant,80000,1500.0,"California, Oklahoma","San Jose, CA and Tulsa, OK",8 - 10 years,8 - 10 years,College degree
35-44,Computing or Tech,Software engineer,105000,,New York,New York,8 - 10 years,1 year or less,College degree
25-34,Nonprofits,Assistant Director of Communications,71600,,Georgia,Atlanta,11 - 20 years,8 - 10 years,Master's degree
25-34,Computing or Tech,Project Manager,63000,2000.0,Oregon,Portland,11 - 20 years,5-7 years,College degree
35-44,life sciences,supervisor,74000,200.0,Minnesota,Saint Paul,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Tech Enablement,55000,1100.0,New York,NYC,11 - 20 years,8 - 10 years,Master's degree
25-34,Nonprofits,Communications Specialist,38000,0.0,Utah,Salt Lake City,2 - 4 years,1 year or less,Master's degree
35-44,Computing or Tech,Senior Application Developer,168000,,New York,New York,11 - 20 years,11 - 20 years,College degree
35-44,"Accounting, Banking & Finance",Director - Legal,108000,12000.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
45-54,market research,senior analyst,64000,,Washington,Seattle,21 - 30 years,8 - 10 years,College degree
65 or over,Education (Higher Education),Associate Professor-Librarian,91000,7000.0,New Jersey,"Lawrenceville, NJ",21 - 30 years,11 - 20 years,Master's degree
25-34,"Accounting, Banking & Finance",Client Services Coordinator,47840,0.0,Florida,Sarasota,8 - 10 years,5-7 years,College degree
35-44,Nonprofits,Associate Director of Guest Services,65000,0.0,Ohio,Kirtland,11 - 20 years,11 - 20 years,College degree
